"Data.Column1,Bone v Brain.xlsx,Bone v Breast.xlsx,Bone v Liver.xlsx,Bone v Lung.xlsx,Bone v Lymph node.xlsx,Bone v Muscle.xlsx,Bone v Ovary.xlsx,Bone v Peritoneum.xlsx,Bone v Pleura.xlsx,Bone v Skin.xlsx,Brain v Breast.xlsx,Brain v Liver.xlsx,Brain v Lung.xlsx,Brain v Lymph Node.xlsx,Brain v Muscle.xlsx,Brain v Ovary.xlsx,Brain v Peritoneum.xlsx,Brain v Pleura.xlsx,Brain v Skin.xlsx,Breast v Liver.xlsx,Breast v Lung.xlsx,Breast v Lymph Node.xlsx,Breast v Muscle.xlsx,Breast v Ovary.xlsx,Breast v Peritonuem.xlsx,Breast v Pleura.xlsx,Breast v Skin.xlsx,Liver v Lung.xlsx,Liver v Lymph Node.xlsx,Liver v Muscle.xlsx,Liver v Ovary.xlsx,Liver v Peritoneum.xlsx,Liver v Pleura.xlsx,Liver v Skin.xlsx,Lung v Lymph Node.xlsx,Lung v Muscle.xlsx,Lung v Ovary.xlsx,Lung v Peritoneum.xlsx,Lung v Pleura.xlsx,Lung v Skin.xlsx,Lymph Node v Muscle.xlsx,Lymph Node v Ovary.xlsx,Lymph Node v Peritoneum.xlsx,Lymph Node v Pleura.xlsx,Lymph Node v Skin.xlsx,Muscle v Ovary.xlsx,Muscle v Peritoneum.xlsx,Muscle v Pleura.xlsx,Muscle v Skin.xlsx,Ovary v Peritoneum.xlsx,Ovary v Pleura.xlsx,Ovary v Skin.xlsx,Peritenum v Skin.xlsx,Peritoneum v Pleura.xlsx,Pleura v Skin.xlsx"
"CEP55,-0.095449,-0.317662,0.23284,-0.216359,-0.3692817,1.12894,1.39561,-0.14593,-0.0293696,0.142348,-0.22221,0.328292,-0.12091,-0.273833,1.22439,1.49106,-0.0504838,0.066079,0.238,0.5505055,0.101303,-0.05162,1.44661,1.713276,0.17173,0.288292,0.46001,-0.4492,-0.602125,0.896101,1.16277,-0.37878,-0.262213,-0.0905,-0.15292,1.3453,1.61197,0.070426,0.186989,0.35871,1.49823,1.7649,0.22335,0.3399121,0.51163,0.26667,-1.27488,-1.15831,-0.9866,-1.54155,-1.42498,-1.25327,0.288281,0.116563,0.171718"
"CETN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61555,,,,,,,,,"
"CFD,1.216745,0.108407,0.55069,-0.730002,0.4952278,-1.67472,1.8916,-1.03328,-0.9988737,-1.258222,-1.10834,-0.666052,-1.946747,-0.721517,-2.89146,0.67486,-2.25002,-2.215618,-2.47,0.4422861,-0.838409,0.386821,-1.78313,1.783194,-1.14168,-1.10728,-1.366628,-1.2807,-0.055465,-2.225413,1.34091,-1.58397,-1.549567,-1.80891,1.22523,-0.94472,2.6216,-0.303273,-0.2688713,-0.52822,-2.16995,1.39637,-1.5285,-1.4941015,-1.75345,3.56632,0.64144,0.67585,0.4165,-2.92488,-2.89047,-3.14982,-0.224946,0.034402,-0.259348"
"CHAD,4.706275,4.722256,2.31248,3.952981,4.4968552,2.34997,2.68024,2.16917,5.0889042,5.094584,0.01598,-2.393799,-0.753294,-0.20942,-2.3563,-2.02603,-2.537106,0.382629,0.388,-2.4097803,-0.769275,-0.225401,-2.37229,-2.042012,-2.55309,0.366648,0.372328,1.64051,2.18438,0.037495,0.36777,-0.14331,2.776429,2.78211,0.54387,-1.60301,-1.27274,-1.783812,1.1359234,1.1416,-2.14688,-1.81661,-2.32769,0.592049,0.597728,0.33027,-0.1808,2.73893,2.74461,-0.51108,2.40866,2.41434,2.925415,2.919735,0.005679"
"CHEK2,0.34695,-0.143064,-0.25985,-0.073347,-0.0815128,0.3505,0.70797,0.4362,-0.1265265,0.310084,-0.49001,-0.606796,-0.420297,-0.428463,0.00355,0.36102,0.08925,-0.473477,-0.0369,-0.1167817,0.069717,0.061551,0.49356,0.851034,0.57926,0.016537,0.453148,0.1865,0.178333,0.610344,0.96782,0.69605,0.133319,0.56993,-0.00817,0.42385,0.78132,0.509547,-0.0531794,0.38343,0.43201,0.78948,0.51771,-0.0450138,0.391597,0.35747,0.0857,-0.47703,-0.04042,-0.27177,-0.8345,-0.39789,-0.126117,-0.562727,0.43661"
"CHI3L1,-3.016834,-0.454541,0.10662,-1.298499,-0.8854058,0.78366,0.8885,-0.79584,-1.4089382,-0.993129,2.56229,3.123456,1.718335,2.131428,3.80049,3.90534,2.2209901,1.607896,2.02,0.5611629,-0.843959,-0.430865,1.2382,1.343044,-0.3413,-0.954398,-0.538588,-1.40512,-0.992028,0.677038,0.78188,-0.90247,-1.51556,-1.09975,0.41309,2.08216,2.187,0.502655,-0.1104389,0.30537,1.66907,1.77391,0.08956,-0.5235324,-0.107723,0.10484,-1.5795,-2.1926,-1.77679,-1.68435,-2.29744,-1.88163,-0.197285,-0.613094,0.415809"
"CHIT1,-0.274064,0.077536,-0.02838,-1.50271,-0.2647135,-0.05314,1.28513,1.95422,0.7601126,0.342028,0.3516,0.245681,-1.228646,0.00935,0.22093,1.5592,2.2282799,1.034176,0.616,-0.1059186,-1.580246,-0.342249,-0.13067,1.207597,1.87668,0.682577,0.264492,-1.47433,-0.236331,-0.024755,1.31352,1.9826,0.788495,0.37041,1.238,1.44957,2.78784,3.456926,2.2628224,1.84474,0.21158,1.54985,2.21893,1.024826,0.606742,1.33827,2.00735,0.81325,0.39517,0.66908,-0.52502,-0.9431,-1.612188,-1.194104,-0.418084"
"CHRNA5,-0.697112,-0.422422,0.79828,0.112999,0.2519608,-0.16165,-0.179,0.48037,0.5297368,-0.068367,0.27469,1.495392,0.810111,0.949073,0.53546,0.51812,1.1774855,1.226849,0.629,1.2207014,0.535421,0.674383,0.26077,0.243426,0.9028,0.952159,0.354055,-0.68528,-0.546319,-0.959933,-0.97728,-0.31791,-0.268543,-0.86665,0.13896,-0.27465,-0.292,0.367374,0.4167379,-0.18137,-0.41361,-0.43096,0.22841,0.277776,-0.320328,-0.01734,0.64203,0.69139,0.09329,0.65937,0.70873,0.11063,-0.54874,0.049364,-0.598104"
"CKB,0.528702,1.829061,1.68057,0.550079,2.4075755,0.87295,1.00476,1.90993,2.1162286,0.931886,1.30036,1.15187,0.021378,1.878874,0.34425,0.47606,1.3812266,1.587527,0.403,-0.1484894,-1.278981,0.578515,-0.95611,-0.824301,0.08087,0.287168,-0.897175,-1.13049,0.727004,-0.807624,-0.67581,0.22936,0.435657,-0.74869,1.8575,0.32287,0.45468,1.359849,1.5661492,0.38181,-1.53463,-1.40282,-0.49765,-0.2913469,-1.475689,0.13181,1.03698,1.24328,0.05894,0.90517,1.11147,-0.07287,-0.978042,0.2063,-1.184342"
"CKMT1A,-0.35978,-0.638495,0.19278,0.504182,0.2008041,-0.60517,1.76335,-0.3332,0.9585437,-0.660487,-0.27871,0.552555,0.863961,0.560584,-0.24539,2.12313,0.0265802,1.318323,-0.301,0.8312703,1.142676,0.839299,0.03332,2.401848,0.3053,1.597038,-0.021993,0.31141,0.008028,-0.797947,1.57058,-0.52598,0.765768,-0.85326,-0.30338,-1.10935,1.25917,-0.837381,0.4543619,-1.16467,-0.80598,1.56255,-0.534,0.7577396,-0.861292,2.36852,0.27197,1.56371,-0.05532,-2.09655,-0.80481,-2.42384,-0.327288,1.291743,-1.619031"
"CKS1B,0.386559,-0.314983,-0.18567,0.030249,-0.0049157,-0.0336,0.15324,-0.15386,0.3510086,0.127828,-0.70154,-0.572233,-0.35631,-0.391475,-0.42016,-0.23332,-0.5404238,-0.035551,-0.259,0.1293101,0.345233,0.310068,0.28138,0.468225,0.16112,0.665992,0.442811,0.21592,0.180758,0.152073,0.33891,0.03181,0.536682,0.3135,-0.03516,-0.06385,0.12299,-0.184113,0.3207595,0.09758,-0.02868,0.15816,-0.14895,0.3559243,0.132743,0.18684,-0.12026,0.38461,0.16143,-0.30711,0.19777,-0.02541,0.281692,0.504873,-0.223181"
"CLDN1,0.227588,-0.088818,-1.64818,-0.871404,-0.1086976,1.48994,-1.14532,1.32022,-1.4067329,-2.100508,-0.31641,-1.875765,-1.098993,-0.336286,1.26235,-1.37291,1.0926365,-1.634321,-2.33,-1.559358,-0.782586,-0.019879,1.57875,-1.056499,1.40904,-1.317915,-2.011689,0.77677,1.539479,3.138112,0.50286,2.9684,0.241443,-0.45233,0.76271,2.36134,-0.27391,2.191629,-0.5353287,-1.2291,1.59863,-1.03662,1.42892,-1.2980354,-1.99181,-2.63525,-0.16971,-2.89667,-3.59044,2.46554,-0.26142,-0.95519,-3.420732,-2.726958,-0.693775"
"CLDN3,-0.271794,0.838185,0.19166,0.33894,0.6544819,0.37449,2.10301,0.54165,-0.1231466,1.177507,1.10998,0.463459,0.610734,0.926276,0.64628,2.3748,0.8134465,0.148648,1.45,-0.6465203,-0.499245,-0.183703,-0.4637,1.264824,-0.29653,-0.961331,0.339322,0.14728,0.462818,0.182821,1.91134,0.34999,-0.314811,0.98584,0.31554,0.03555,1.76407,0.202712,-0.4620863,0.83857,-0.28,1.44853,-0.11283,-0.7776285,0.523025,1.72852,0.16717,-0.49763,0.80302,-1.56136,-2.22615,-0.9255,0.635855,-0.664799,1.300654"
"CLDN4,-1.202607,-0.716133,-0.10119,0.070205,-0.0486752,0.13977,3.41699,-0.60283,-0.9745916,-0.380894,0.48647,1.10142,1.272812,1.153932,1.34238,4.6196,0.5997756,0.228016,0.822,0.6149458,0.786338,0.667458,0.8559,4.133126,0.1133,-0.258458,0.33524,0.17139,0.052512,0.240958,3.51818,-0.50164,-0.873404,-0.27971,-0.11888,0.06957,3.34679,-0.673036,-1.0447964,-0.4511,0.18845,3.46567,-0.55416,-0.9259165,-0.332219,3.27722,-0.7426,-1.11436,-0.52066,-4.01982,-4.39158,-3.79789,0.221938,-0.37176,0.593698"
"CLDN7,-0.034671,-0.197785,0.13336,0.030623,0.4159943,0.99159,2.04523,-0.75205,0.2059153,0.398505,-0.16311,0.168032,0.065294,0.450666,1.02626,2.0799,-0.7173765,0.240587,0.433,0.3311457,0.228408,0.61378,1.18938,2.243014,-0.55426,0.4037,0.59629,-0.10274,0.282634,0.85823,1.91187,-0.88541,0.072555,0.26514,0.38537,0.96097,2.01461,-0.782671,0.1752926,0.36788,0.5756,1.62923,-1.16804,-0.210079,-0.017489,1.05364,-1.74364,-0.78568,-0.59309,-2.79728,-1.83931,-1.64672,1.150553,0.957963,0.19259"
"CLEC14A,0.28126,0.358649,0.07934,-0.643522,0.6106271,-0.50282,0.10146,0.28146,0.1713281,-0.493211,0.07739,-0.201918,-0.924782,0.329367,-0.78408,-0.1798,0.0002048,-0.109932,-0.774,-0.2793063,-1.00217,0.251979,-0.86147,-0.257185,-0.07718,-0.18732,-0.851859,-0.72286,0.531285,-0.582166,0.02212,0.20212,0.091986,-0.57255,1.25415,0.1407,0.74499,0.924987,0.81485,0.15031,-1.11345,-0.50916,-0.32916,-0.4392989,-1.103838,0.60429,0.78429,0.67415,0.00961,0.18,0.06986,-0.59467,-0.774676,-0.110137,-0.664539"
"CLEC5A,0.671242,0.981972,1.00728,0.262205,0.6967231,1.14821,0.81157,0.59595,1.4722637,0.68739,0.31073,0.336034,-0.409037,0.025481,0.47696,0.14033,-0.0752938,0.801022,0.0161,0.0253039,-0.719767,-0.285249,0.16623,-0.170399,-0.38602,0.490292,-0.294582,-0.74507,-0.310553,0.140931,-0.1957,-0.41133,0.464988,-0.31989,0.43452,0.886,0.54937,0.333743,1.2100586,0.42518,0.45148,0.11485,-0.10077,0.7755406,-0.009334,-0.33663,-0.55226,0.32406,-0.46082,-0.21562,0.66069,-0.12418,0.091441,0.876316,-0.784874"
"CMKLR1,0.290793,0.478009,0.35163,-0.304805,0.3800706,-0.35178,0.53242,-0.38021,-0.3208803,-0.235379,0.18722,0.060834,-0.595598,0.089278,-0.64257,0.24163,-0.6710036,-0.611673,-0.526,-0.1263823,-0.782814,-0.097939,-0.82979,0.054412,-0.85822,-0.798889,-0.713388,-0.65643,0.028444,-0.703409,0.18079,-0.73184,-0.672507,-0.58701,0.68488,-0.04698,0.83723,-0.075406,-0.0160753,0.06943,-0.73185,0.15235,-0.76028,-0.7009509,-0.61545,0.8842,-0.02843,0.0309,0.1164,-0.91263,-0.8533,-0.7678,0.144832,0.059331,0.085501"
"CNTFR,-0.80104,-0.378137,-0.07314,-0.281824,0.4566329,-0.17058,0.04498,0.3447,0.2496234,-0.79915,0.4229,0.727901,0.519216,1.257673,0.63046,0.84602,1.1457452,1.050664,0.00189,0.3049974,0.096313,0.83477,0.20756,0.423116,0.72284,0.62776,-0.421013,-0.20868,0.529772,-0.097441,0.11812,0.41784,0.322763,-0.72601,0.73846,0.11124,0.3268,0.626529,0.5314477,-0.51733,-0.62721,-0.41165,-0.11193,-0.2070095,-1.255783,0.21556,0.51529,0.4202,-0.62857,0.29973,0.20464,-0.84413,-1.143855,-0.095081,-1.048773"
"COL11A1,1.807047,0.971498,2.73905,1.380847,1.0012084,1.74106,1.41001,2.63907,1.8019816,1.262351,-0.83555,0.932006,-0.4262,-0.805839,-0.06599,-0.39704,0.8320188,-0.005066,-0.545,1.767555,0.409349,0.02971,0.76956,0.43851,1.66757,0.830483,0.290853,-1.35821,-1.737845,-0.997994,-1.32905,-0.09999,-0.937071,-1.4767,-0.37964,0.36021,0.02916,1.258219,0.4211346,-0.1185,0.73985,0.4088,1.63786,0.8007732,0.261142,-0.33105,0.89801,0.06092,-0.47871,1.22906,0.39197,-0.14766,-1.376715,-0.837084,-0.539631"
"COL27A1,-0.346818,0.699218,-0.46178,-0.061048,0.1775458,-1.41316,-1.75264,1.1779,-0.5196152,-0.264986,1.04604,-0.114963,0.28577,0.524364,-1.06635,-1.40583,1.524717,-0.172797,0.0818,-1.1609988,-0.760266,-0.521672,-2.11238,-2.451862,0.47868,-1.218833,-0.964204,0.40073,0.639327,-0.951383,-1.29086,1.63968,-0.057834,0.19679,0.23859,-1.35212,-1.6916,1.238947,-0.4585669,-0.20394,-1.59071,-1.93019,1.00035,-0.697161,-0.442532,-0.33948,2.59106,0.89355,1.14818,2.93054,1.23303,1.48766,-1.442885,-1.697514,0.254629"
"COL2A1,-0.061693,0.480471,0.54466,0.006068,0.7014397,0.59651,-0.11209,-2.45021,0.1855542,0.129492,0.54216,0.606357,0.067761,0.763133,0.65821,-0.0504,-2.3885164,0.247247,0.191,0.0641926,-0.474403,0.220969,0.11604,-0.592564,-2.93068,-0.294917,-0.350978,-0.5386,0.156776,0.051852,-0.65676,-2.99487,-0.359109,-0.41517,0.69537,0.59045,-0.11816,-2.456278,0.1794863,0.12342,-0.10492,-0.81353,-3.15165,-0.5158855,-0.571947,-0.70861,-3.04672,-0.41096,-0.46702,-2.33812,0.29765,0.24159,2.579702,2.635764,-0.056062"
"COL4A6,-0.143448,0.087884,0.94679,-0.870705,-0.4336506,1.11931,-0.91164,1.98147,0.4333502,-0.424443,0.23133,1.09024,-0.727257,-0.290203,1.26276,-0.76819,2.1249163,0.576798,-0.281,0.8589086,-0.958588,-0.521534,1.03143,-0.999522,1.89358,0.345466,-0.512327,-1.8175,-1.380443,0.172517,-1.85843,1.03468,-0.513442,-1.37124,0.43705,1.99001,-0.04093,2.852173,1.3040547,0.44626,1.55296,-0.47799,2.41512,0.8670008,0.009208,-2.03095,0.86216,-0.68596,-1.54375,2.89311,1.34499,0.48719,-2.405911,-1.548118,-0.857793"
"COL6A3,1.731725,-0.892566,-0.27737,-0.927557,-0.5086189,-1.90383,-1.58549,-1.24207,-0.3813396,-1.560883,-2.62429,-2.009096,-2.659281,-2.240344,-3.63555,-3.31722,-2.9737994,-2.113064,-3.29,0.6151951,-0.034991,0.383947,-1.01126,-0.692925,-0.34951,0.511226,-0.668317,-0.65019,-0.231248,-1.626459,-1.30812,-0.9647,-0.103969,-1.28351,0.41894,-0.97627,-0.65793,-0.314518,0.546217,-0.63333,-1.39521,-1.07687,-0.73346,0.1272792,-1.052264,0.31834,0.66175,1.52249,0.34295,0.34342,1.20415,0.02461,-0.318808,0.860735,-1.179543"
"COL7A1,-0.182406,0.677074,0.57098,-0.01528,0.5007939,1.27993,0.35152,2.21218,1.5168149,-1.17654,0.85948,0.753383,0.167125,0.6832,1.46234,0.53393,2.3945859,1.699221,-0.994,-0.1060966,-0.692355,-0.17628,0.60286,-0.325553,1.53511,0.839741,-1.853614,-0.58626,-0.070184,0.708955,-0.21946,1.6412,0.945837,-1.74752,0.51607,1.29521,0.3668,2.227461,1.5320954,-1.16126,0.77914,-0.14927,1.71139,1.016021,-1.677334,-0.92841,0.93225,0.23688,-2.45647,1.86066,1.16529,-1.52806,-3.38872,-0.695365,-2.693355"
"COL9A3,-1.396097,0.119086,1.30023,-0.776162,-0.0319684,1.18732,0.05688,-1.86471,-1.160276,-0.777675,1.51518,2.696328,0.619935,1.364129,2.58341,1.45298,-0.4686136,0.235821,0.618,1.1811452,-0.895248,-0.151054,1.06823,-0.062205,-1.9838,-1.279362,-0.896761,-2.07639,-1.332199,-0.112914,-1.24335,-3.16494,-2.460507,-2.07791,0.74419,1.96348,0.83304,-1.088549,-0.3841137,-0.00151,1.21929,0.08885,-1.83274,-1.1283076,-0.745707,-1.13044,-3.05203,-2.34759,-1.96499,-1.92159,-1.21716,-0.83456,1.087036,0.704435,0.382601"
"COLEC12,1.350161,1.273258,2.22295,0.452534,0.756511,-1.49529,0.63952,0.81503,0.0954158,0.393241,-0.0769,0.872789,-0.897627,-0.59365,-2.84545,-0.71064,-0.5351299,-1.254745,-0.957,0.9496918,-0.820723,-0.516747,-2.76854,-0.633735,-0.45823,-1.177842,-0.880017,-1.77042,-1.466439,-3.718237,-1.58343,-1.40792,-2.127534,-1.82971,0.30398,-1.94782,0.18699,0.362497,-0.3571186,-0.05929,-2.2518,-0.11699,0.05852,-0.6610952,-0.36327,2.13481,2.31032,1.5907,1.88853,0.17551,-0.54411,-0.24628,-0.42179,-0.719615,0.297825"
"COMP,3.230619,1.261331,1.1058,1.377764,0.7344412,0.00904,2.90729,2.00786,1.7832581,0.902044,-1.96929,-2.124814,-1.852855,-2.496178,-3.22158,-0.32333,-1.2227551,-1.447361,-2.33,-0.1555261,0.116433,-0.52689,-1.25229,1.64596,0.74653,0.521927,-0.359288,0.27196,-0.371364,-1.096766,1.80149,0.90206,0.677453,-0.20376,-0.64332,-1.36872,1.52953,0.6301,0.4054941,-0.47572,-0.7254,2.17285,1.27342,1.0488169,0.167602,2.89825,1.99882,1.77422,0.893,-0.89943,-1.12403,-2.00525,-1.105821,-0.224606,-0.881215"
"CPA3,1.989639,0.140677,0.8407,-1.258266,0.5527967,-1.5412,1.01258,0.03643,0.6705421,-1.254251,-1.84896,-1.148937,-3.247905,-1.436842,-3.53084,-0.97706,-1.9532088,-1.319097,-3.24,0.7000256,-1.398943,0.41212,-1.68188,0.871907,-0.10425,0.529865,-1.394928,-2.09897,-0.287906,-2.381902,0.17188,-0.80427,-0.17016,-2.09495,1.81106,-0.28293,2.27085,1.294696,1.928808,0.00401,-2.094,0.45979,-0.51637,0.1177453,-1.807048,2.55378,1.57763,2.21174,0.28695,-0.97615,-0.34204,-2.26683,-1.290682,0.634112,-1.924794"
"CREBBP,0.153155,0.38243,-0.02565,0.104391,0.1013096,-0.16453,-0.0389,0.38489,0.0119399,0.102834,0.22927,-0.178807,-0.048765,-0.051846,-0.31768,-0.19205,0.2317358,-0.141215,-0.0503,-0.4080813,-0.278039,-0.28112,-0.54696,-0.421326,0.00246,-0.37049,-0.279595,0.13004,0.126961,-0.138875,-0.01324,0.41054,0.037592,0.12849,-0.00308,-0.26892,-0.14329,0.2805,-0.0924507,-0.00156,-0.26584,-0.14021,0.28358,-0.0893697,0.001525,0.12563,0.54942,0.17647,0.26736,0.42379,0.05084,0.14173,-0.282057,-0.372951,0.090894"
"CRYAB,-2.301449,0.245847,1.43516,-0.0642,0.8595646,-3.13076,-0.01222,-0.81941,-0.0578373,-0.827663,2.5473,3.736612,2.237249,3.161014,-0.82931,2.28923,1.4820415,2.243612,1.47,1.1893157,-0.310048,0.613717,-3.37661,-0.25807,-1.06526,-0.303685,-1.073511,-1.49936,-0.575599,-4.565927,-1.44739,-2.25457,-1.493001,-2.26283,0.92376,-3.06656,0.05198,-0.755208,0.0063629,-0.76346,-3.99033,-0.87179,-1.67897,-0.9174019,-1.687228,3.11854,2.31136,3.07293,2.3031,-0.80719,-0.04561,-0.81544,-0.008256,0.76157,-0.769826"
"CSF3R,0.563398,1.129773,0.86905,0.055204,1.1106585,1.88859,2.44058,1.49581,0.5225603,1.045617,0.56638,0.305648,-0.508195,0.54726,1.32519,1.87718,0.9324164,-0.040838,0.482,-0.2607274,-1.07457,-0.019115,0.75881,1.31081,0.36604,-0.607213,-0.084156,-0.81384,0.241613,1.019539,1.57154,0.62677,-0.346486,0.17657,1.05545,1.83338,2.38538,1.440611,0.4673567,0.99041,0.77793,1.32992,0.38516,-0.5880982,-0.065042,0.552,-0.39277,-1.36602,-0.84297,-0.94477,-1.91802,-1.39497,-0.450198,-0.973254,0.523057"
"CTSW,0.760175,0.437207,0.59655,-0.452861,0.423418,1.39601,0.51634,0.93659,-0.0634629,0.418299,-0.32297,-0.163623,-1.213036,-0.336757,0.63584,-0.24383,0.1764187,-0.823638,-0.342,0.1593442,-0.890069,-0.013789,0.95881,0.079134,0.49939,-0.50067,-0.018909,-1.04941,-0.173134,0.799461,-0.08021,0.34004,-0.660015,-0.17825,0.87628,1.84887,0.9692,1.389455,0.3893983,0.87116,0.9726,0.09292,0.51318,-0.4868809,-0.005119,-0.87967,-0.45942,-1.45948,-0.97771,0.42025,-0.5798,-0.09804,-0.518295,-1.000057,0.481762"
"CXADR,-0.395668,-0.208827,-1.16465,-0.939499,-0.464352,1.38278,1.43388,-0.16162,-0.7290606,-1.335218,0.18684,-0.768987,-0.543832,-0.068684,1.77845,1.82954,0.2340481,-0.333393,-0.94,-0.9558273,-0.730672,-0.255525,1.59161,1.642702,0.04721,-0.520234,-1.126391,0.22516,0.700302,2.547437,2.59853,1.00303,0.435594,-0.17056,0.47515,2.32228,2.37337,0.77788,0.2104386,-0.39572,1.84713,1.89823,0.30273,-0.2647086,-0.870866,0.05109,-1.5444,-2.11184,-2.718,-1.59549,-2.16294,-2.76909,-1.173599,-0.567441,-0.606158"
"CXCL10,-0.772026,-1.570914,-1.78598,-2.017045,-1.7740197,-0.9958,0.16021,-1.43742,-1.6049101,-0.732825,-0.79889,-1.01395,-1.245019,-1.001993,-0.22377,0.93223,-0.6653889,-0.832884,0.0392,-0.2150628,-0.446131,-0.203106,0.57512,1.731122,0.1335,-0.033996,0.838089,-0.23107,0.011957,0.790181,1.94618,0.34856,0.181066,1.05315,0.24303,1.02125,2.17725,0.57963,0.4121347,1.28422,0.77822,1.93423,0.3366,0.1691095,1.041195,1.156,-0.44162,-0.60911,0.26297,-1.59762,-1.76512,-0.89303,0.70459,-0.167495,0.872085"
"CXCL12,1.74957,0.74421,0.61068,1.094305,0.5989242,0.01402,-0.08802,0.91708,0.6195685,-0.047997,-1.00536,-1.13889,-0.655265,-1.150646,-1.73555,-1.83759,-0.8324895,-1.130002,-1.8,-0.1335293,0.350095,-0.145286,-0.73019,-0.832227,0.17287,-0.124642,-0.792207,0.48362,-0.011757,-0.596657,-0.6987,0.3064,0.008888,-0.65868,-0.49538,-1.08028,-1.18232,-0.177224,-0.4747368,-1.1423,-0.5849,-0.68694,0.31816,0.0206443,-0.646922,-0.10204,0.90306,0.60554,-0.06202,1.0051,0.70759,0.04002,-0.965078,-0.297513,-0.667566"
"CXCL13,-0.757135,-1.764907,0.26635,-1.197367,-1.0963747,-2.05515,0.11845,-1.93593,-1.4408201,-0.123731,-1.00777,1.023484,-0.440232,-0.33924,-1.29801,0.87559,-1.1787915,-0.683685,0.633,2.0312562,0.56754,0.668532,-0.29024,1.883361,-0.17102,0.324087,1.641176,-1.46372,-1.362724,-2.321495,-0.14789,-2.20228,-1.707169,-0.39008,0.10099,-0.85778,1.31582,-0.73856,-0.2434531,1.07364,-0.95877,1.21483,-0.83955,-0.3444454,0.972643,2.1736,0.11922,0.61433,1.93141,-2.05438,-1.55927,-0.24219,1.812195,0.495106,1.317089"
"CXCL5,0.241371,1.127853,0.7826,-1.073493,1.0248337,1.28264,0.52027,1.69873,0.8023561,0.08312,0.88648,0.541231,-1.314863,0.783463,1.04127,0.2789,1.4573605,0.560985,-0.158,-0.3452516,-2.201346,-0.10302,0.15479,-0.607581,0.57088,-0.325497,-1.044734,-1.85609,0.242232,0.500038,-0.26233,0.91613,0.019754,-0.69948,2.09833,2.35613,1.59377,2.772224,1.8758486,1.15661,0.25781,-0.50456,0.6739,-0.2224777,-0.941714,-0.76237,0.41609,-0.48028,-1.19952,1.17846,0.28208,-0.43715,-1.615612,-0.896375,-0.719236"
"CXCL8,-0.50865,0.540707,0.08706,-1.237344,1.1110374,1.00637,0.5069,0.93601,1.3658595,0.622703,1.04936,0.595715,-0.728694,1.619687,1.51502,1.01555,1.4446635,1.874509,1.13,-0.4536425,-1.778051,0.57033,0.46566,-0.033803,0.39531,0.825152,0.081996,-1.32441,1.023973,0.919301,0.41984,0.84895,1.278795,0.53564,2.34838,2.24371,1.74425,2.173358,2.6032037,1.86005,-0.10467,-0.60413,-0.17502,0.2548221,-0.488334,-0.49946,-0.07035,0.35949,-0.38366,0.42911,0.85896,0.1158,-0.313311,0.429846,-0.743157"
"CXCL9,0.044454,-2.13898,-1.26281,-2.560548,-2.5354665,-1.26817,0.54624,-1.7395,-2.0345133,-1.529759,-2.18343,-1.30726,-2.605001,-2.57992,-1.31263,0.50179,-1.7839537,-2.078967,-1.57,0.8761736,-0.421568,-0.396487,0.87081,2.685223,0.39948,0.104466,0.609221,-1.29774,-1.27266,-0.005367,1.80905,-0.47669,-0.771707,-0.26695,0.02508,1.29237,3.10679,0.821048,0.5260345,1.03079,1.26729,3.08171,0.79597,0.5009532,1.005708,1.81442,-0.47133,-0.76634,-0.26159,-2.28574,-2.58076,-2.076,0.209741,-0.295013,0.504754"
"CXCR6,-0.057954,-0.393031,-0.17634,-1.341527,-0.0343651,1.09024,0.0185,-0.05696,-0.6958489,-0.263494,-0.33508,-0.11839,-1.283573,0.023589,1.14819,0.07646,0.0009948,-0.637895,-0.206,0.2166878,-0.948495,0.358666,1.48327,0.411536,0.33607,-0.302817,0.129537,-1.16518,0.141979,1.266584,0.19485,0.11938,-0.519505,-0.08715,1.30716,2.43177,1.36003,1.284568,0.6456779,1.07803,1.12461,0.05287,-0.02259,-0.6614838,-0.229129,-1.07173,-1.1472,-1.78609,-1.35373,-0.07546,-0.71435,-0.282,-0.206535,-0.63889,0.432355"
"CXXC5,0.586262,0.645893,-0.08238,0.129353,0.7146559,-0.49856,1.00076,0.12857,0.3753853,0.852093,0.05963,-0.668645,-0.456909,0.128394,-1.08483,0.4145,-0.4576924,-0.210876,0.266,-0.7282764,-0.51654,0.068763,-1.14446,0.354865,-0.51732,-0.270508,0.2062,0.21174,0.79704,-0.41618,1.08314,0.21095,0.457769,0.93448,0.5853,-0.62792,0.87141,-0.000783,0.2460325,0.72274,-1.21322,0.2861,-0.58609,-0.3392706,0.137437,1.49932,0.62713,0.87395,1.35066,-0.87219,-0.62537,-0.14867,0.723523,0.246816,0.476707"
